RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,2327,2025-01-03 21:01:07.1480430,4625,Info,Microsoft-Windows-EventSystem,Application,1752,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""86400""},{""@Name"":""param2"",""#text"":""SuppressDuplicateDuration""},{""@Name"":""param3"",""#text"":""Software\\Microsoft\\EventSystem\\EventLog""}]}}"
2,2328,2025-01-03 21:01:07.1373536,1531,Info,Microsoft-Windows-User Profiles Service,Application,1744,1844,WinDev2401Eval,0,S-1-5-18,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,Classic,0,"{""EventData"":""""}"
3,2329,2025-01-03 21:01:07.7733591,5615,Info,Microsoft-Windows-WMI,Application,3264,3564,WinDev2401Eval,0,S-1-5-18,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,Classic,0,"{""EventData"":""""}"
4,2330,2025-01-03 21:01:07.9212683,900,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""TriggerStarted:6"",""Binary"":""""}}"
5,2331,2025-01-03 21:01:08.0093102,16394,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
6,2332,2025-01-03 21:01:08.0614363,1066,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""C:\\Windows\\system32\\sppwinob.dll, msft:spp/windowsfunctionality/agent/7.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:rm/algorithm/inherited/1.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:rm/algorithm/phone/1.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:rm/algorithm/pkey/detect, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:spp/ActionScheduler/1.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:spp/TaskScheduler/1.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:spp/statecollector/pkey, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:spp/volume/services/kms/1.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:spp/volume/services/kms/activationinfo/1.0, 0x00000000, 0x00000000\n"",""Binary"":""""}}"
7,2333,2025-01-03 21:01:08.5184128,1034,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Security-SPP-WriteWauMarker, 500"",""Binary"":""""}}"
8,2334,2025-01-03 21:01:08.5345282,1003,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f, \n1: 3f4c0546-36c6-46a8-a37f-be13cdd0cf25, 1, 0 [(0 [0xC004E003, 0, 0], [( 9 0xC004FC07 90 0)( 1 0x00000000)(?)( 2 0x00000000 0 0 msft:rm/algorithm/hwid/4.0 0x00000000 0)(?)( 9 0xC004FC07 90 0)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 0 0)( 1 0x00000000)( 6 0xC004F009 0 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004FC07)])]\n\n"",""Binary"":""""}}"
9,2335,2025-01-03 21:01:08.5553075,902,LogAlways,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""10.0.22621.3672"",""Binary"":""""}}"
10,2336,2025-01-03 21:01:08.5901618,100,Info,WLMS,Application,3376,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
11,2337,2025-01-03 21:01:08.0466371,5617,Info,Microsoft-Windows-WMI,Application,3264,3700,WinDev2401Eval,0,S-1-5-18,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,Classic,0,"{""EventData"":""""}"
12,2338,2025-01-03 21:01:10.7643695,4112,Info,Microsoft-Windows-CAPI2,Application,3128,3496,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,"Audit success, classic",0,"{""EventData"":{""Data"":""‎Wednesday, ‎December ‎4, ‎2024 10:00:14 AM"",""Binary"":""""}}"
13,2339,2025-01-03 21:01:23.9331449,6003,Info,Microsoft-Windows-Winlogon,Application,720,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""SessionEnv"",""Binary"":""D9-06-00-00""}}"
14,2340,2025-01-03 21:01:23.9961360,6000,Info,Microsoft-Windows-Winlogon,Application,720,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""SessionEnv"",""Binary"":""D9-06-00-00""}}"
15,2341,2025-01-03 21:01:28.3044677,1003,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f, \n1: 3f4c0546-36c6-46a8-a37f-be13cdd0cf25, 1, 1 [(0 [0xC004E003, 0, 0], [( 9 0xC004FC07 90 0)( 1 0x00000000)(?)( 2 0x00000000 0 0 msft:rm/algorithm/hwid/4.0 0x00000000 0)(?)( 9 0xC004FC07 90 0)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 0 0)( 1 0x00000000)( 6 0xC004F009 0 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004FC07)])]\n\n"",""Binary"":""""}}"
16,2342,2025-01-03 21:01:28.7381200,1003,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f, \n1: 3f4c0546-36c6-46a8-a37f-be13cdd0cf25, 1, 1 [(0 [0xC004E003, 0, 0], [( 9 0xC004FC07 90 0)( 1 0x00000000)(?)( 2 0x00000000 0 0 msft:rm/algorithm/hwid/4.0 0x00000000 0)(?)( 9 0xC004FC07 90 0)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 0 0)( 1 0x00000000)( 6 0xC004F009 0 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004FC07)])]\n\n"",""Binary"":""""}}"
17,2343,2025-01-03 21:01:28.7847422,1003,Info,Microsoft-Windows-Security-SPP,Application,3820,0,WinDev2401Eval,0,,,,,,,,,,,,False,C:\Users\Inferno\Desktop\al_evtx\al_Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f, \n1: 3f4c0546-36c6-46a8-a37f-be13cdd0cf25, 1, 1 [(0 [0xC004E003, 0, 0], [( 9 0xC004FC07 90 0)( 1 0x00000000)(?)( 2 0x00000000 0 0 msft:rm/algorithm/hwid/4.0 0x00000000 0)(?)( 9 0xC004FC07 90 0)( 10 0x00000000 msft:rm/algorithm/flags/1.0)(?)])(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 0 0)( 1 0x00000000)( 6 0xC004F009 0 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004FC07)])]\n\n"",""Binary"":""""}}"
